 ,X,Y,cluster_id
25,3430954.944,3054819.456,0.0
24,3420703.872,3074533.056,0.0
23,3433320.576,3110017.536,0.0
55,4497854.976,4732841.088,888.0
56,4500220.608,4758863.04,888.0
57,4534128.0,4753343.232,888.0
29,2389288.32,2114875.008,1776.0
72,2438966.592,2123548.992,1776.0
38,3470382.144,3515329.152,2664.0
39,3487730.112,3533465.664,2664.0
40,3482210.304,3544505.28,2664.0
17,3453822.72,3546082.368,2664.0
16,3480633.216,3560276.16,2664.0
59,4604308.416,4689471.168,3552.0
58,4593268.8,4715493.12,3552.0
76,4187168.64,4750977.6,4440.0
75,4222653.12,4777788.096,4440.0
65,5504037.12,5885692.416,5328.0
64,5539521.6,5881749.696,5328.0
78,4398498.432,5131844.352,6216.0
77,4433982.912,5113707.84,6216.0
52,4582229.184,4407960.96,7104.0
53,4545956.16,4422154.752,7104.0
54,4553841.6,4410326.592,7104.0
51,4564092.672,4431617.28,7104.0
7,5905406.016,5971643.712,7992.0
6,5925908.16,5985837.504,7992.0
32,2672375.616,1928778.624,8880.0
33,2660547.456,1908276.48,8880.0
11,5840745.408,5310055.296,9768.0
12,5817877.632,5306901.12,9768.0
13,5850207.936,5294284.416,9768.0
49,4139856.0,4519145.664,10656.0
48,4145375.808,4529396.736,10656.0
50,4153261.248,4497854.976,10656.0
30,2141685.504,2017884.096,11544.0
31,2148782.4,1991073.6,11544.0
34,2246561.856,1808919.936,12432.0
70,2272583.808,1787629.248,12432.0
60,4630330.368,4740726.528,13320.0
61,4657929.408,4715493.12,13320.0
79,4998580.416,5174425.728,14208.0
68,1246688.064,953349.696,15096.0
69,1250630.784,938367.36,15096.0
67,1244322.432,972274.752,15096.0
66,1257727.68,971486.208,15096.0
8,5961392.64,5504825.664,15984.0
9,5969278.08,5484323.52,15984.0
35,2382191.424,1294789.248,16872.0
62,4258137.6,4001072.256,17760.0
19,2793022.848,3218048.064,18648.0
18,2794599.936,3230664.768,18648.0
47,3482998.848,4631118.912,19536.0
63,5453570.304,5049047.232,20424.0
37,1965840.192,914711.04,21312.0
36,1983188.16,924173.568,21312.0
43,3826015.488,3865442.688,22200.0
42,3823649.856,3846517.632,22200.0
44,3846517.632,3860711.424,22200.0
21,2776463.424,3196757.376,23088.0
20,2747287.296,3210951.168,23088.0
5,7007001.984,6251576.832,23976.0
2,7189155.648,6504699.456,24864.0
80,6161682.816,5399160.768,25752.0
81,6165625.536,5388121.152,25752.0
74,2703128.832,1708774.848,26640.0
73,2718111.168,1724545.728,26640.0
41,3849671.808,3723504.768,27528.0
14,3846517.632,3698271.36,27528.0
15,3624148.224,3628090.944,28416.0
3,6426633.6,6466060.8,29304.0
71,2406636.288,1900391.04,30192.0
22,3347369.28,3189660.48,31080.0
45,3718773.504,4243943.808,31968.0
10,5962969.728,5374715.904,32856.0
26,3450668.544,2973599.424,33744.0
27,2490221.952,2767000.896,34632.0
4,6915530.88,6316237.44,35520.0
1,6427422.144,6559897.536,36408.0
46,3913543.872,4304661.696,37296.0
28,2529649.152,2644776.576,38184.0
