og_coord,starfish_coord,dist
"(4689, 4847)","(4716.0, 4850.0)",27.166
"(6388, 5621)","(6372.0, 5645.0)",28.844
"(2443, 1753)","(2428.0, 1723.0)",33.541
"(6586, 7034)","(6586.0, 6997.0)",37.0
"(4498, 4179)","(4465.0, 4196.0)",37.121
"(6422, 5644)","(6372.0, 5645.0)",50.01
"(3512, 3603)","(3545.0, 3641.0)",50.329
"(3440, 3588)","(3385.0, 3613.0)",60.415
"(7109, 7124)","(7107.0, 7063.0)",61.033
"(4643, 4448)","(4621.0, 4511.0)",66.731
"(1999, 1627)","(2067.0, 1635.0)",68.469
"(2080, 1866)","(2076.0, 1795.0)",71.113
"(2905, 2018)","(2851.0, 2068.0)",73.593
"(5404, 5201)","(5336.0, 5171.0)",74.324
"(3955, 3815)","(3997.0, 3751.0)",76.551
"(4435, 4125)","(4465.0, 4196.0)",77.078
"(5610, 5551)","(5612.0, 5466.0)",85.024
"(6775, 6761)","(6860.0, 6739.0)",87.801
"(3313, 3736)","(3378.0, 3676.0)",88.459
"(7159, 6991)","(7107.0, 7063.0)",88.814
"(4646, 4908)","(4716.0, 4850.0)",90.907
"(1641, 1276)","(1552.0, 1247.0)",93.606
"(2464, 2709)","(2563.0, 2702.0)",99.247
"(3411, 3791)","(3474.0, 3868.0)",99.489
"(5656, 5259)","(5707.0, 5345.0)",99.985
"(4304, 5136)","(4296.0, 5239.0)",103.31
"(3962, 3849)","(3997.0, 3751.0)",104.062
"(2360, 1806)","(2428.0, 1723.0)",107.299
"(6347, 6712)","(6426.0, 6785.0)",107.564
"(5651, 5249)","(5727.0, 5168.0)",111.072
"(6833, 6504)","(6921.0, 6572.0)",111.212
"(5227, 5143)","(5336.0, 5171.0)",112.539
"(3337, 2240)","(3244.0, 2306.0)",114.039
"(4074, 4020)","(4188.0, 3990.0)",117.881
"(5409, 4961)","(5300.0, 5015.0)",121.643
"(3559, 4285)","(3636.0, 4183.0)",127.801
"(4565, 4759)","(4666.0, 4680.0)",128.226
"(2835, 2257)","(2956.0, 2211.0)",129.449
"(2422, 1854)","(2428.0, 1723.0)",131.137
"(7083, 6880)","(7040.0, 6754.0)",133.135
"(2514, 2574)","(2563.0, 2702.0)",137.058
"(3921, 3389)","(3890.0, 3523.0)",137.539
"(3861, 3716)","(3997.0, 3751.0)",140.431
"(5859, 5616)","(5715.0, 5604.0)",144.499
"(4891, 5258)","(5011.0, 5171.0)",148.219
"(6194, 5721)","(6047.0, 5763.0)",152.882
"(7384, 7169)","(7223.0, 7217.0)",168.003
"(6363, 5994)","(6236.0, 6106.0)",169.331
"(5521, 5609)","(5612.0, 5466.0)",169.499
"(2653, 2911)","(2722.0, 2754.0)",171.493
"(6717, 6836)","(6860.0, 6739.0)",172.795
"(5846, 6060)","(6006.0, 6128.0)",173.851
"(3952, 3922)","(3997.0, 3751.0)",176.822
"(3819, 4183)","(3636.0, 4183.0)",183.0
"(6695, 6648)","(6860.0, 6739.0)",188.43
"(5046, 5650)","(4963.0, 5475.0)",193.685
"(4205, 4189)","(4188.0, 3990.0)",199.725
"(7348, 7049)","(7223.0, 7217.0)",209.402
"(1751, 1313)","(1552.0, 1247.0)",209.659
"(6603, 6494)","(6785.0, 6384.0)",212.659
"(4904, 4376)","(4829.0, 4582.0)",219.228
"(6461, 6077)","(6236.0, 6106.0)",226.861
"(6237, 6657)","(6426.0, 6785.0)",228.265
"(6657, 6193)","(6785.0, 6384.0)",229.924
"(7511, 7322)","(7306.0, 7446.0)",239.585
"(7848, 6810)","(7734.0, 7023.0)",241.588
"(5886, 6350)","(6006.0, 6128.0)",252.357
"(6577, 5801)","(6372.0, 5645.0)",257.606
"(4237, 4322)","(4465.0, 4196.0)",260.5
"(6319, 6375)","(6164.0, 6161.0)",264.237
"(4092, 4237)","(4188.0, 3990.0)",265.0
"(3812, 3982)","(3636.0, 4183.0)",267.165
"(7994, 7137)","(7734.0, 7023.0)",283.894
"(7573, 7547)","(7306.0, 7446.0)",285.465
"(7203, 6501)","(6921.0, 6572.0)",290.801
"(3748, 3267)","(3890.0, 3523.0)",292.746
"(3988, 4232)","(3823.0, 4481.0)",298.707
"(5983, 6430)","(6006.0, 6128.0)",302.875
"(6462, 6413)","(6785.0, 6384.0)",324.299
"(2861, 3056)","(2722.0, 2754.0)",332.453
"(1827, 613)","(1418.0, 819.0)",457.949
"(1845, 525)","(1418.0, 819.0)",518.426
