og_coord,starfish_coord,dist
"(3609, 3714)","(3602.0, 3706.0)",10.63
"(6494, 5738)","(6516.0, 5731.0)",23.087
"(6253, 5840)","(6271.0, 5880.0)",43.863
"(1394, 961)","(1438.0, 971.0)",45.122
"(7412, 7235)","(7460.0, 7221.0)",50.0
"(3939, 4592)","(3952.0, 4541.0)",52.631
"(1546, 700)","(1524.0, 759.0)",62.968
"(1636, 1081)","(1665.0, 1024.0)",63.953
"(2305, 1244)","(2309.0, 1180.0)",64.125
"(3431, 4102)","(3496.0, 4099.0)",65.069
"(6855, 6840)","(6869.0, 6776.0)",65.513
"(3952, 4475)","(3952.0, 4541.0)",66.0
"(4837, 4453)","(4806.0, 4513.0)",67.535
"(4152, 5258)","(4175.0, 5323.0)",68.949
"(4280, 4089)","(4217.0, 4118.0)",69.354
"(4340, 3955)","(4319.0, 4027.0)",75.0
"(1640, 953)","(1665.0, 1024.0)",75.273
"(3424, 4133)","(3496.0, 4099.0)",79.624
"(6398, 6259)","(6401.0, 6339.0)",80.056
"(1596, 1313)","(1519.0, 1285.0)",81.933
"(5863, 5592)","(5810.0, 5661.0)",87.006
"(5873, 5598)","(5810.0, 5661.0)",89.095
"(6514, 6362)","(6426.0, 6339.0)",90.956
"(7963, 7267)","(8053.0, 7284.0)",91.591
"(7792, 7166)","(7884.0, 7207.0)",100.722
"(5709, 5657)","(5810.0, 5661.0)",101.079
"(2690, 1978)","(2729.0, 1874.0)",111.072
"(5573, 5811)","(5463.0, 5786.0)",112.805
"(3707, 3938)","(3813.0, 3985.0)",115.953
"(3974, 4703)","(4091.0, 4694.0)",117.346
"(6435, 6938)","(6559.0, 6937.0)",124.004
"(1540, 1137)","(1630.0, 1224.0)",125.176
"(4807, 5259)","(4876.0, 5142.0)",135.831
"(6562, 6346)","(6426.0, 6339.0)",136.18
"(6966, 6583)","(6836.0, 6517.0)",145.794
"(5636, 5983)","(5761.0, 6063.0)",148.408
"(4062, 4439)","(3952.0, 4541.0)",150.013
"(2968, 2479)","(2972.0, 2633.0)",154.052
"(4371, 3879)","(4319.0, 4027.0)",156.869
"(7780, 6825)","(7623.0, 6863.0)",161.533
"(4425, 4434)","(4445.0, 4272.0)",163.23
"(3541, 3488)","(3663.0, 3376.0)",165.614
"(7488, 7552)","(7628.0, 7642.0)",166.433
"(4441, 5291)","(4395.0, 5127.0)",170.329
"(7653, 7473)","(7628.0, 7642.0)",170.839
"(5975, 5613)","(5810.0, 5661.0)",171.84
"(1349, 713)","(1524.0, 759.0)",180.945
"(4623, 4305)","(4445.0, 4272.0)",181.033
"(3722, 3557)","(3663.0, 3376.0)",190.373
"(3458, 3912)","(3496.0, 4099.0)",190.822
"(5029, 5012)","(5178.0, 5135.0)",193.21
"(1730, 1390)","(1630.0, 1224.0)",193.794
"(3718, 4156)","(3813.0, 3985.0)",195.617
"(3976, 5329)","(4175.0, 5323.0)",199.09
"(2416, 1885)","(2282.0, 1731.0)",204.137
"(6609, 6248)","(6426.0, 6339.0)",204.377
"(4009, 4146)","(4217.0, 4118.0)",209.876
"(3815, 3773)","(3813.0, 3985.0)",212.009
"(3191, 2664)","(2972.0, 2633.0)",221.183
"(2523, 1606)","(2441.0, 1396.0)",225.442
"(7661, 7327)","(7460.0, 7221.0)",227.238
"(2910, 2026)","(2729.0, 1874.0)",236.358
"(2635, 2097)","(2729.0, 1874.0)",242.002
"(5900, 5436)","(5810.0, 5661.0)",242.332
"(2713, 2120)","(2729.0, 1874.0)",246.52
"(6508, 5983)","(6516.0, 5731.0)",252.127
"(2622, 2272)","(2598.0, 2538.0)",267.081
"(3829, 4293)","(3952.0, 4541.0)",276.827
"(6292, 7026)","(6559.0, 6937.0)",281.443
"(3073, 2360)","(2972.0, 2633.0)",291.084
"(2072, 1011)","(2309.0, 1180.0)",291.084
"(1956, 966)","(1665.0, 1024.0)",296.724
"(5741, 5254)","(5428.0, 5326.0)",321.174
"(4079, 3543)","(4172.0, 3863.0)",333.24
"(7129, 6988)","(6869.0, 6776.0)",335.476
"(3265, 2824)","(2972.0, 2633.0)",349.757
"(3205, 3898)","(3496.0, 4099.0)",353.669
"(3121, 3862)","(3272.0, 3525.0)",369.283
"(2428, 2117)","(2729.0, 1874.0)",386.846
"(6852, 5956)","(6516.0, 5731.0)",404.377
"(2908, 3073)","(2972.0, 2633.0)",444.63
"(3014, 3095)","(2972.0, 2633.0)",463.905
