og_coord,starfish_coord,dist
"(3756, 2888)","(3827.143, 2871.468)",73.039
"(4261, 1410)","(4287.645, 1341.5)",73.5
"(3411, 4993)","(3339.082, 5025.514)",78.926
"(4938, 2196)","(4900.165, 2270.505)",83.561
"(2680, 4390)","(2645.663, 4312.537)",84.732
"(1741, 6577)","(1657.095, 6549.259)",88.372
"(3757, 2927)","(3827.143, 2871.468)",89.464
"(4070, 3306)","(3995.164, 3247.515)",94.979
"(4280, 1246)","(4287.645, 1341.5)",95.806
"(4978, 2213)","(4900.165, 2270.505)",96.774
"(3347, 4929)","(3339.082, 5025.514)",96.838
"(4374, 1389)","(4287.645, 1341.5)",98.557
"(823, 9514)","(724.535, 9530.075)",99.769
"(1013, 9664)","(1085.468, 9733.656)",100.517
"(923, 8139)","(884.555, 8045.446)",101.145
"(3981, 3354)","(3995.164, 3247.515)",107.423
"(4899, 2381)","(4900.165, 2270.505)",110.501
"(3752, 2790)","(3827.143, 2871.468)",110.831
"(1241, 9380)","(1337.944, 9437.619)",112.775
"(3404, 4932)","(3339.082, 5025.514)",113.839
"(3702, 2882)","(3827.143, 2871.468)",125.585
"(3803, 2747)","(3827.143, 2871.468)",126.788
"(728, 9864)","(768.985, 9986.132)",128.825
"(2751, 4392)","(2645.663, 4312.537)",131.948
"(2645, 4445)","(2645.663, 4312.537)",132.465
"(650, 9924)","(768.985, 9986.132)",134.23
"(3430, 5126)","(3339.082, 5025.514)",135.512
"(2006, 6076)","(1897.125, 5982.967)",143.209
"(1290, 9301)","(1337.944, 9437.619)",144.787
"(3725, 2768)","(3827.143, 2871.468)",145.392
"(4813, 2153)","(4900.165, 2270.505)",146.305
"(915, 9971)","(768.985, 9986.132)",146.797
"(1029, 7992)","(884.555, 8045.446)",154.016
"(4995, 2393)","(4900.165, 2270.505)",154.915
"(3752, 2730)","(3827.143, 2871.468)",160.186
"(1027, 8124)","(884.555, 8045.446)",162.669
"(1048, 8050)","(884.555, 8045.446)",163.508
"(4820, 2127)","(4900.165, 2270.505)",164.378
"(1039, 8270)","(1105.026, 8421.492)",165.255
"(3499, 4980)","(3339.082, 5025.514)",166.269
"(2633, 4479)","(2645.663, 4312.537)",166.944
"(1819, 6498)","(1657.095, 6549.259)",169.826
"(1175, 9374)","(1337.944, 9437.619)",174.923
"(911, 9717)","(1085.468, 9733.656)",175.261
"(1827, 6598)","(1657.095, 6549.259)",176.758
"(1835, 6559)","(1657.095, 6549.259)",178.171
"(3990, 3426)","(3995.164, 3247.515)",178.56
"(996, 8188)","(884.555, 8045.446)",180.946
"(3990, 2952)","(3827.143, 2871.468)",181.681
"(916, 9662)","(1085.468, 9733.656)",183.995
"(899, 9855)","(768.985, 9986.132)",184.661
"(901, 9585)","(724.535, 9530.075)",184.815
"(1191, 8256)","(1105.026, 8421.492)",186.492
"(923, 9640)","(1085.468, 9733.656)",187.529
