og_centroid,closest_centroid,dist,cluster_id
"(9.779, 1.06)","(9.923, 1.134)",0.161,38
"(9.923, 1.134)","(9.779, 1.06)",0.161,54
"(2.114, 5.835)","(2.115, 5.669)",0.166,25
"(2.115, 5.669)","(2.114, 5.835)",0.166,0
"(3.727, 4.395)","(3.797, 4.547)",0.167,143
"(3.797, 4.547)","(3.727, 4.395)",0.167,112
"(2.748, 4.294)","(2.783, 4.467)",0.177,35
"(2.783, 4.467)","(2.748, 4.294)",0.177,60
"(4.643, 4.518)","(4.74, 4.366)",0.181,94
"(4.74, 4.366)","(4.643, 4.518)",0.181,77
"(2.346, 5.631)","(2.115, 5.669)",0.234,45
"(3.519, 4.276)","(3.727, 4.395)",0.239,36
"(4.934, 4.15)","(4.74, 4.366)",0.29,2
"(5.196, 3.957)","(4.934, 4.15)",0.326,124
"(11.265, 1.041)","(10.949, 0.954)",0.328,88
"(10.949, 0.954)","(11.265, 1.041)",0.328,11
"(8.735, 0.759)","(8.675, 1.213)",0.458,7
"(8.675, 1.213)","(8.735, 0.759)",0.458,8
"(5.528, 3.487)","(5.196, 3.957)",0.575,76
"(10.792, 1.607)","(10.949, 0.954)",0.672,18
"(9.457, 1.657)","(9.779, 1.06)",0.678,79
"(10.352, 2.199)","(10.792, 1.607)",0.737,33
"(3.656, 3.513)","(3.519, 4.276)",0.775,53
"(4.501, 3.368)","(3.656, 3.513)",0.858,118
"(5.517, 2.312)","(5.528, 3.487)",1.175,34
