X,Y,cluster_id,avg,avg_no_1s
5280.0,730.0,0,1.0,2.0
5324.0,761.0,0,0.0,0.0
5202.0,680.0,0,0.0,0.0
5319.0,800.0,0,0.0,0.0
5252.0,700.0,0,0.0,0.0
5146.0,357.0,1,0.0,0.0
5184.0,319.0,1,0.0,0.0
909.0,5742.0,2,0.0,0.0
916.0,5697.0,2,0.0,0.0
963.0,5723.0,2,0.0,0.0
5810.0,1030.0,3,0.0,0.0
5858.0,1007.0,3,0.0,0.0
5770.0,1005.0,3,0.0,0.0
5430.0,1139.0,4,0.0,0.0
5346.0,1078.0,4,0.0,0.0
5388.0,1106.0,4,0.0,0.0
1606.0,3845.0,5,0.0,0.0
1655.0,3856.0,5,0.0,0.0
4420.0,848.0,6,0.0,0.0
4447.0,845.0,6,0.0,0.0
4399.0,896.0,6,0.0,0.0
950.0,4503.0,7,0.0,0.0
994.0,4531.0,7,0.0,0.0
949.0,4472.0,7,0.0,0.0
1432.0,4968.0,8,0.0,0.0
1449.0,5018.0,8,0.0,0.0
3728.0,2058.0,9,0.0,0.0
3751.0,2016.0,9,0.0,0.0
3897.0,1908.0,10,0.0,0.0
3857.0,1902.0,10,0.0,0.0
3829.0,1907.0,10,0.0,0.0
3895.0,1700.0,11,0.0,0.0
3853.0,1708.0,11,0.0,0.0
3836.0,1706.0,11,0.0,0.0
1152.0,4041.0,12,0.0,0.0
1236.0,3997.0,12,0.0,0.0
1201.0,4032.0,12,0.0,0.0
916.0,5180.0,13,0.0,0.0
877.0,5210.0,13,0.0,0.0
1924.0,3973.0,14,0.0,0.0
1913.0,3922.0,14,0.0,0.0
508.0,6347.0,15,0.0,0.0
512.0,6363.0,15,0.0,0.0
515.0,6408.0,15,0.0,0.0
5011.0,867.0,16,0.0,0.0
4961.0,858.0,16,0.0,0.0
629.0,5955.0,17,0.0,0.0
659.0,5912.0,17,0.0,0.0
653.0,5876.0,17,0.0,0.0
3049.0,2878.0,18,0.0,0.0
3056.0,2924.0,18,0.0,0.0
975.0,4831.0,19,0.0,0.0
999.0,4849.0,19,0.0,0.0
2307.0,2840.0,20,0.0,0.0
2336.0,2848.0,20,0.0,0.0
1258.0,4790.0,21,0.0,0.0
1324.0,4782.0,21,0.0,0.0
1298.0,4789.0,21,0.0,0.0
3316.0,1460.0,22,0.0,0.0
3301.0,1495.0,22,0.0,0.0
2634.0,2513.0,23,0.0,0.0
2636.0,2482.0,23,0.0,0.0
2648.0,2482.0,23,0.0,0.0
1835.0,2905.0,24,0.0,0.0
1794.0,2894.0,24,0.0,0.0
1238.0,4591.0,25,0.0,0.0
1276.0,4662.0,25,0.0,0.0
1190.0,4587.0,25,0.0,0.0
1256.0,4640.0,25,0.0,0.0
1256.0,4599.0,25,0.0,0.0
1809.0,4080.0,26,0.0,0.0
1718.0,4113.0,26,0.0,0.0
1792.0,4108.0,26,0.0,0.0
1752.0,4082.0,26,0.0,0.0
5354.0,861.0,27,0.0,0.0
5401.0,863.0,27,0.0,0.0
834.0,5936.0,28,0.0,0.0
822.0,5901.0,28,0.0,0.0
737.0,6292.0,29,0.0,0.0
694.0,6292.0,29,0.0,0.0
737.0,6309.0,29,0.0,0.0
667.0,6255.0,29,0.0,0.0
4755.0,567.0,30,0.0,0.0
4760.0,525.0,30,0.0,0.0
4789.0,586.0,30,0.0,0.0
4753.0,580.0,30,0.0,0.0
755.0,6142.0,31,0.0,0.0
785.0,6127.0,31,0.0,0.0
800.0,6166.0,31,0.0,0.0
793.0,6196.0,31,0.0,0.0
6039.0,900.0,32,0.0,0.0
6043.0,879.0,32,0.0,0.0
1523.0,4318.0,33,0.0,0.0
1493.0,4354.0,33,0.0,0.0
2177.0,3197.0,34,0.0,0.0
2135.0,3206.0,34,0.0,0.0
2148.0,3237.0,34,0.0,0.0
2192.0,3252.0,34,0.0,0.0
4324.0,1058.0,35,0.0,0.0
4294.0,984.0,35,0.0,0.0
4322.0,1007.0,35,0.0,0.0
4322.0,1072.0,35,0.0,0.0
1088.0,4803.0,36,0.0,0.0
1096.0,4920.0,36,0.0,0.0
1080.0,4881.0,36,0.0,0.0
1108.0,4832.0,36,0.0,0.0
1090.0,4959.0,36,0.0,0.0
1059.0,4833.0,36,0.0,0.0
1114.0,4879.0,36,0.0,0.0
1475.0,4109.0,37,0.0,0.0
1456.0,4137.0,37,0.0,0.0
1350.0,4422.0,38,0.0,0.0
1308.0,4479.0,38,0.0,0.0
1302.0,4420.0,38,0.0,0.0
1329.0,4446.0,38,0.0,0.0
2216.0,2625.0,39,0.0,0.0
2202.0,2622.0,39,0.0,0.0
2391.0,3301.0,40,0.0,0.0
2392.0,3309.0,40,0.0,0.0
5409.0,1279.0,41,0.0,0.0
4139.0,1581.0,42,0.0,0.0
4154.0,1559.0,42,0.0,0.0
2958.0,2172.0,43,0.0,0.0
2106.0,3401.0,44,0.0,0.0
2093.0,3440.0,44,0.0,0.0
2080.0,3428.0,44,0.0,0.0
2063.0,3451.0,44,0.0,0.0
3754.0,2146.0,45,0.0,0.0
3763.0,2136.0,45,0.0,0.0
2411.0,3438.0,46,0.0,0.0
5804.0,629.0,47,0.0,0.0
3834.0,1624.0,48,0.0,0.0
1230.0,5399.0,49,0.0,0.0
1171.0,5543.0,50,0.0,0.0
1203.0,5569.0,50,0.0,0.0
2169.0,3114.0,51,0.0,0.0
2192.0,3135.0,51,0.0,0.0
1684.0,3643.0,52,0.0,0.0
1677.0,3633.0,52,0.0,0.0
1689.0,3639.0,52,0.0,0.0
1642.0,3610.0,52,0.0,0.0
2791.0,1839.0,53,0.0,0.0
2776.0,1886.0,53,0.0,0.0
2781.0,1859.0,53,0.0,0.0
3447.0,2410.0,54,0.0,0.0
3443.0,2366.0,54,0.0,0.0
1443.0,3707.0,55,0.0,0.0
1463.0,3739.0,55,0.0,0.0
1433.0,3742.0,55,0.0,0.0
2589.0,3184.0,56,0.0,0.0
2632.0,3189.0,56,0.0,0.0
2655.0,3194.0,56,0.0,0.0
5904.0,611.0,57,0.0,0.0
5879.0,627.0,57,0.0,0.0
2146.0,2907.0,58,0.0,0.0
2142.0,2911.0,58,0.0,0.0
1488.0,3807.0,59,0.0,0.0
1505.0,3838.0,59,0.0,0.0
1515.0,3858.0,59,0.0,0.0
3140.0,2117.0,60,0.0,0.0
3164.0,2088.0,60,0.0,0.0
6092.0,589.0,61,0.0,0.0
5660.0,936.0,62,0.0,0.0
5674.0,957.0,62,0.0,0.0
4969.0,1095.0,63,0.0,0.0
4950.0,1102.0,63,0.0,0.0
1770.0,4319.0,64,0.0,0.0
1746.0,4315.0,64,0.0,0.0
4497.0,310.0,65,0.0,0.0
1761.0,4250.0,66,0.0,0.0
1515.0,5003.0,67,0.0,0.0
1501.0,5045.0,67,0.0,0.0
3019.0,2030.0,68,0.0,0.0
1186.0,3875.0,69,0.0,0.0
1033.0,3966.0,70,0.0,0.0
1050.0,3989.0,70,0.0,0.0
3531.0,2182.0,71,0.0,0.0
3538.0,2150.0,71,0.0,0.0
4687.0,1187.0,72,0.0,0.0
4725.0,1208.0,72,0.0,0.0
4743.0,1240.0,72,0.0,0.0
4644.0,1186.0,72,0.0,0.0
4667.0,1170.0,72,0.0,0.0
3309.0,2244.0,73,0.0,0.0
3113.0,1882.0,74,0.0,0.0
3146.0,1883.0,74,0.0,0.0
3259.0,1951.0,75,0.0,0.0
3283.0,1953.0,75,0.0,0.0
4606.0,1095.0,76,0.0,0.0
4599.0,1084.0,76,0.0,0.0
1173.0,5234.0,77,0.0,0.0
1306.0,4326.0,78,0.0,0.0
1305.0,4290.0,78,0.0,0.0
1868.0,3312.0,79,0.0,0.0
1861.0,3324.0,79,0.0,0.0
3613.0,1876.0,80,0.0,0.0
3249.0,2154.0,81,0.0,0.0
1961.0,2881.0,82,0.0,0.0
4974.0,406.0,83,0.0,0.0
4544.0,1366.0,84,0.0,0.0
945.0,4904.0,85,0.0,0.0
5571.0,623.0,86,0.0,0.0
5568.0,599.0,86,0.0,0.0
1850.0,3507.0,87,0.0,0.0
978.0,6198.0,88,0.0,0.0
865.0,4225.0,89,0.0,0.0
874.0,4246.0,89,0.0,0.0
3114.0,2439.0,90,0.0,0.0
1814.0,3058.0,91,0.0,0.0
2014.0,3795.0,92,0.0,0.0
4291.0,1644.0,93,0.0,0.0
1886.0,2973.0,94,0.0,0.0
3442.0,1594.0,95,0.0,0.0
3040.0,2152.0,96,0.0,0.0
3383.0,2131.0,97,0.0,0.0
1648.0,2919.0,98,0.0,0.0
3381.0,1836.0,99,0.0,0.0
2540.0,3012.0,100,0.0,0.0
2210.0,3787.0,101,0.0,0.0
3985.0,1270.0,102,0.0,0.0
2454.0,2468.0,103,0.0,0.0
6163.0,593.0,104,0.0,0.0
2542.0,3121.0,105,0.0,0.0
2566.0,3090.0,105,0.0,0.0
1109.0,4224.0,106,0.0,0.0
1096.0,4207.0,106,0.0,0.0
2998.0,1412.0,107,0.0,0.0
885.0,5856.0,108,0.0,0.0
3332.0,2614.0,109,0.0,0.0
1556.0,3756.0,110,0.0,0.0
1662.0,3164.0,111,0.0,0.0
1666.0,3183.0,111,0.0,0.0
1714.0,4190.0,112,0.0,0.0
2114.0,3882.0,113,0.0,0.0
2133.0,3890.0,113,0.0,0.0
3424.0,2025.0,114,0.0,0.0
1593.0,4211.0,115,0.0,0.0
3070.0,1659.0,116,0.0,0.0
1552.0,3518.0,117,0.0,0.0
