og_coord,closest_coord,dist
"(3.122, 3.454)","(3.122, 3.438)",0.016
"(3.122, 3.438)","(3.122, 3.454)",0.016
"(2.05, 1.949)","(2.07, 1.957)",0.021
"(2.07, 1.957)","(2.05, 1.949)",0.021
"(4.763, 4.431)","(4.777, 4.409)",0.026
"(4.777, 4.409)","(4.763, 4.431)",0.026
"(2.521, 1.725)","(2.51, 1.767)",0.043
"(2.51, 1.767)","(2.521, 1.725)",0.043
"(6.723, 6.542)","(6.707, 6.5)",0.045
"(6.707, 6.5)","(6.723, 6.542)",0.045
"(3.662, 4.352)","(3.691, 4.309)",0.052
"(3.691, 4.309)","(3.662, 4.352)",0.052
"(5.773, 5.625)","(5.83, 5.627)",0.057
"(5.83, 5.627)","(5.773, 5.625)",0.057
"(4.653, 5.041)","(4.596, 5.049)",0.057
"(4.596, 5.049)","(4.653, 5.041)",0.057
"(6.751, 6.31)","(6.732, 6.376)",0.069
"(6.732, 6.376)","(6.751, 6.31)",0.069
"(5.689, 5.5)","(5.758, 5.497)",0.069
"(5.758, 5.497)","(5.689, 5.5)",0.069
"(3.506, 4.593)","(3.528, 4.522)",0.074
"(3.528, 4.522)","(3.506, 4.593)",0.074
"(5.562, 5.609)","(5.485, 5.581)",0.081
"(5.485, 5.581)","(5.562, 5.609)",0.081
"(4.363, 4.131)","(4.28, 4.068)",0.104
"(4.28, 4.068)","(4.363, 4.131)",0.104
"(6.841, 6.406)","(6.732, 6.376)",0.113
"(3.641, 4.206)","(3.691, 4.309)",0.115
"(5.063, 4.462)","(4.979, 4.554)",0.124
"(4.979, 4.554)","(5.063, 4.462)",0.124
"(3.17, 3.315)","(3.171, 3.183)",0.132
"(3.171, 3.183)","(3.17, 3.315)",0.132
"(4.911, 4.396)","(4.777, 4.409)",0.135
"(5.06, 4.325)","(5.063, 4.462)",0.137
"(2.06, 1.808)","(2.05, 1.949)",0.142
"(5.206, 5.546)","(5.105, 5.442)",0.146
"(5.105, 5.442)","(5.206, 5.546)",0.146
"(4.615, 4.406)","(4.763, 4.431)",0.15
"(3.826, 3.62)","(3.876, 3.768)",0.156
"(3.876, 3.768)","(3.826, 3.62)",0.156
"(6.574, 6.418)","(6.707, 6.5)",0.156
"(4.195, 4.682)","(4.035, 4.685)",0.16
"(4.035, 4.685)","(4.195, 4.682)",0.16
"(4.28, 4.541)","(4.195, 4.682)",0.164
"(5.418, 5.734)","(5.485, 5.581)",0.167
"(4.124, 4.833)","(4.195, 4.682)",0.168
"(4.386, 4.756)","(4.429, 4.925)",0.174
"(4.429, 4.925)","(4.386, 4.756)",0.174
"(5.332, 5.158)","(5.245, 5.002)",0.179
"(5.245, 5.002)","(5.332, 5.158)",0.179
"(5.427, 5.313)","(5.332, 5.158)",0.182
"(4.103, 4.49)","(4.28, 4.541)",0.184
"(5.01, 5.276)","(5.105, 5.442)",0.191
"(1.36, 1.154)","(1.393, 0.963)",0.194
"(1.393, 0.963)","(1.36, 1.154)",0.194
"(4.162, 4.246)","(4.28, 4.068)",0.213
"(7.05, 6.359)","(6.841, 6.406)",0.214
"(5.07, 4.75)","(4.979, 4.554)",0.217
"(2.225, 1.652)","(2.134, 1.452)",0.22
"(2.134, 1.452)","(2.225, 1.652)",0.22
"(4.836, 4.9)","(4.653, 5.041)",0.231
"(3.38, 3.957)","(3.517, 3.761)",0.24
"(3.517, 3.761)","(3.38, 3.957)",0.24
"(6.448, 6.211)","(6.574, 6.418)",0.243
"(5.995, 5.808)","(5.83, 5.627)",0.245
"(6.664, 5.835)","(6.438, 5.733)",0.248
"(6.438, 5.733)","(6.664, 5.835)",0.248
"(3.544, 3.462)","(3.429, 3.238)",0.253
"(3.429, 3.238)","(3.544, 3.462)",0.253
"(1.842, 1.493)","(2.134, 1.452)",0.295
"(3.397, 2.939)","(3.429, 3.238)",0.3
"(2.067, 1.0)","(1.862, 0.773)",0.306
"(1.862, 0.773)","(2.067, 1.0)",0.306
"(2.264, 2.372)","(2.424, 2.636)",0.309
"(2.424, 2.636)","(2.264, 2.372)",0.309
"(2.815, 3.34)","(3.122, 3.438)",0.323
"(3.099, 2.778)","(3.397, 2.939)",0.339
"(5.723, 5.042)","(5.427, 5.313)",0.401
"(2.818, 2.431)","(2.424, 2.636)",0.443
"(5.533, 6.169)","(5.418, 5.734)",0.45
"(2.983, 1.83)","(2.521, 1.725)",0.473
