og_coord,Path
"(3780.0, 1884.0)","[(3780, 1884), (3968.0, 1864.0), (4000.0, 1848.0), (4032.0, 1832.0), (4048.0, 1816.0), (4064.0, 1800.0), (4080.0, 1784.0), (4096.0, 1768.0), (4112.0, 1752.0), (4128.0, 1736.0), (4144.0, 1720.0), (4160.0, 1704.0), (4176.0, 1688.0), (4192.0, 1672.0), (4208.0, 1656.0), (4224.0, 1640.0), (4240.0, 1624.0), (4256.0, 1608.0), (4272.0, 1592.0), (4288.0, 1576.0), (4304.0, 1560.0), (4320.0, 1544.0), (4336.0, 1528.0), (4352.0, 1512.0), (4368.0, 1496.0), (4384, 1488)]"
"(3979.0, 1419.0)","[(3979, 1419), (4320.0, 1416.0), (4336.0, 1432.0), (4352.0, 1448.0), (4368.0, 1464.0), (4384.0, 1480.0), (4384, 1488)]"
"(3356.0, 1346.0)","[(3356, 1346), (3336.0, 2464.0), (3320.0, 2480.0), (3304.0, 2496.0), (3288.0, 2512.0), (3272.0, 2528.0), (3256.0, 2544.0), (3240.0, 2560.0), (3232, 2576)]"
"(3797.0, 1906.0)","[(3797, 1906), (3920.0, 1896.0), (3936.0, 1880.0), (3968.0, 1864.0), (4000.0, 1848.0), (4032.0, 1832.0), (4048.0, 1816.0), (4064.0, 1800.0), (4080.0, 1784.0), (4096.0, 1768.0), (4112.0, 1752.0), (4128.0, 1736.0), (4144.0, 1720.0), (4160.0, 1704.0), (4176.0, 1688.0), (4192.0, 1672.0), (4208.0, 1656.0), (4224.0, 1640.0), (4240.0, 1624.0), (4256.0, 1608.0), (4272.0, 1592.0), (4288.0, 1576.0), (4304.0, 1560.0), (4320.0, 1544.0), (4336.0, 1528.0), (4352.0, 1512.0), (4368.0, 1496.0), (4384, 1488)]"
"(3976.0, 1492.0)","[(3976, 1492), (3960.0, 1840.0), (3944.0, 1856.0), (3928.0, 1872.0), (3912.0, 1888.0), (3896.0, 1904.0), (3880.0, 1920.0), (3864.0, 1936.0), (3848.0, 1952.0), (3832.0, 1968.0), (3816.0, 1984.0), (3800.0, 2000.0), (3784.0, 2016.0), (3768.0, 2032.0), (3752.0, 2048.0), (3736.0, 2064.0), (3720.0, 2080.0), (3704.0, 2096.0), (3688.0, 2112.0), (3672.0, 2128.0), (3656.0, 2144.0), (3640.0, 2160.0), (3624.0, 2176.0), (3608.0, 2192.0), (3592.0, 2208.0), (3576.0, 2224.0), (3560.0, 2240.0), (3544.0, 2256.0), (3528.0, 2272.0), (3512.0, 2288.0), (3496.0, 2304.0), (3480.0, 2320.0), (3464.0, 2336.0), (3448.0, 2352.0), (3432.0, 2368.0), (3416.0, 2384.0), (3400.0, 2400.0), (3384.0, 2416.0), (3368.0, 2432.0), (3352.0, 2448.0), (3336.0, 2464.0), (3320.0, 2480.0), (3304.0, 2496.0), (3288.0, 2512.0), (3272.0, 2528.0), (3256.0, 2544.0), (3240.0, 2560.0), (3232, 2576)]"
"(4006.0, 1392.0)","[(4006, 1392), (4304.0, 1400.0), (4320.0, 1416.0), (4336.0, 1432.0), (4352.0, 1448.0), (4368.0, 1464.0), (4384.0, 1480.0), (4384, 1488)]"
"(3959.0, 1474.0)","[(3959, 1474), (4384.0, 1480.0), (4384, 1488)]"
"(3914.0, 1440.0)","[(3914, 1440), (4352.0, 1448.0), (4368.0, 1464.0), (4384.0, 1480.0), (4384, 1488)]"
"(3998.0, 1764.0)","[(3998, 1764), (4112.0, 1752.0), (4128.0, 1736.0), (4144.0, 1720.0), (4160.0, 1704.0), (4176.0, 1688.0), (4192.0, 1672.0), (4208.0, 1656.0), (4224.0, 1640.0), (4240.0, 1624.0), (4256.0, 1608.0), (4272.0, 1592.0), (4288.0, 1576.0), (4304.0, 1560.0), (4320.0, 1544.0), (4336.0, 1528.0), (4352.0, 1512.0), (4368.0, 1496.0), (4384, 1488)]"
"(4030.0, 1776.0)","[(4030, 1776), (4096.0, 1768.0), (4112.0, 1752.0), (4128.0, 1736.0), (4144.0, 1720.0), (4160.0, 1704.0), (4176.0, 1688.0), (4192.0, 1672.0), (4208.0, 1656.0), (4224.0, 1640.0), (4240.0, 1624.0), (4256.0, 1608.0), (4272.0, 1592.0), (4288.0, 1576.0), (4304.0, 1560.0), (4320.0, 1544.0), (4336.0, 1528.0), (4352.0, 1512.0), (4368.0, 1496.0), (4384, 1488)]"
