og_coord,closest_coord,dist
"(7413, 7379)","(7379, 7438)",68.096
"(2218, 1909)","(2222, 1880)",29.275
"(7379, 7438)","(7413, 7379)",68.096
"(2072, 1333)","(2078, 1227)",106.17
"(6205, 5719)","(5994, 5551)",269.713
"(3327, 3602)","(3226, 3627)",104.048
"(2263, 1619)","(2087, 1580)",180.269
"(4765, 4914)","(4801, 5318)",405.601
"(3249, 2972)","(3056, 2674)",355.039
"(2168, 1812)","(2222, 1880)",86.833
"(5675, 5369)","(5863, 5658)",344.768
"(5953, 6176)","(6009, 6099)",95.21
"(2010, 981)","(2054, 854)",134.406
"(3123, 3967)","(3170, 3915)",70.093
"(7239, 6608)","(7443, 6604)",204.039
"(2673, 1523)","(2563, 1357)",199.138
"(5970, 6039)","(6009, 6099)",71.561
"(3180, 3464)","(3226, 3627)",169.366
"(2755, 2582)","(2763, 2498)",84.38
"(2263, 1220)","(2078, 1227)",185.132
"(4801, 5318)","(4765, 4914)",405.601
"(3056, 2674)","(2755, 2582)",314.746
"(7704, 7277)","(7742, 7245)",49.679
"(2087, 1580)","(1916, 1637)",180.25
"(2371, 2305)","(2331, 2304)",40.012
"(7443, 6604)","(7239, 6608)",204.039
"(1745, 1283)","(1812, 1416)",148.923
"(2162, 2042)","(2218, 1909)",144.309
"(2763, 2498)","(2755, 2582)",84.38
"(6816, 6120)","(6762, 6390)",275.347
"(2582, 2943)","(2755, 2582)",400.312
"(2634, 1906)","(2861, 1772)",263.6
"(6529, 5898)","(6238, 6079)",342.698
"(1409, 1104)","(1635, 1163)",233.574
"(5863, 5658)","(5994, 5551)",169.145
"(3871, 3313)","(3501, 3752)",574.126
"(2476, 2528)","(2371, 2305)",246.483
"(1635, 1163)","(1745, 1283)",162.788
"(4159, 4393)","(4038, 4249)",188.088
"(5437, 5773)","(5421, 5819)",48.703
"(7348, 6811)","(7253, 6928)",150.712
"(2881, 2249)","(2763, 2498)",275.545
"(1940, 1106)","(2010, 981)",143.265
"(2139, 1065)","(2201, 1017)",78.409
"(5820, 6093)","(5953, 6176)",156.774
"(2201, 1017)","(2241, 1029)",41.761
"(3501, 3752)","(3533, 3780)",42.521
"(7742, 7245)","(7704, 7277)",49.679
"(2054, 854)","(2010, 981)",134.406
"(6009, 6099)","(5970, 6039)",71.561
"(1916, 1637)","(2087, 1580)",180.25
"(5349, 5073)","(5417, 5030)",80.455
"(3159, 2125)","(2958, 1950)",266.507
"(7692, 7500)","(7704, 7277)",223.323
"(3539, 4219)","(3533, 3780)",439.041
"(3170, 3915)","(3123, 3967)",70.093
"(5994, 5551)","(5863, 5658)",169.145
"(3226, 3627)","(3327, 3602)",104.048
"(5417, 5030)","(5349, 5073)",80.455
"(5237, 5290)","(5349, 5073)",244.199
"(4326, 4789)","(4213, 4748)",120.208
"(1812, 1416)","(1745, 1283)",148.923
"(4059, 5124)","(4213, 4748)",406.315
"(2958, 1950)","(2861, 1772)",202.714
"(2241, 1029)","(2201, 1017)",41.761
"(6238, 6079)","(6009, 6099)",229.872
"(4213, 4748)","(4326, 4789)",120.208
"(2324, 1912)","(2218, 1909)",106.042
"(7877, 7040)","(7742, 7245)",245.459
"(6762, 6390)","(6816, 6120)",275.347
"(3533, 3780)","(3501, 3752)",42.521
"(4038, 4249)","(4159, 4393)",188.088
"(5553, 4937)","(5417, 5030)",164.757
"(2454, 1186)","(2263, 1220)",194.003
"(7253, 6928)","(7348, 6811)",150.712
"(2078, 1227)","(2072, 1333)",106.17
"(4388, 4465)","(4159, 4393)",240.052
"(2222, 1880)","(2218, 1909)",29.275
"(2861, 1772)","(2958, 1950)",202.714
"(5421, 5819)","(5437, 5773)",48.703
"(2331, 2304)","(2371, 2305)",40.012
"(2563, 1357)","(2673, 1523)",199.138
