radius,%_gp_captured,%_pface_covered,SC3PA,total_gp
100,1.0,0.16751,5.96985,81.0
100,0.10976,0.16751,0.65523,82.0
160,1.0,0.33838,2.95526,81.0
160,0.31707,0.33838,0.93703,82.0
220,1.0,0.5086,1.96617,81.0
220,0.52439,0.5086,1.03104,82.0
280,1.0,0.66497,1.50382,81.0
280,0.62195,0.66497,0.9353,82.0
340,1.0,0.78582,1.27255,81.0
340,0.81707,0.78582,1.03977,82.0
400,1.0,0.871,1.14811,81.0
400,0.92683,0.871,1.0641,82.0
460,1.0,0.92748,1.07819,81.0
460,0.96341,0.92748,1.03874,82.0
520,1.0,0.96275,1.03869,81.0
520,0.96341,0.96275,1.00069,82.0
580,0.97561,0.98388,0.9916,82.0
580,1.0,0.98388,1.01639,81.0
640,1.0,0.99659,1.00342,82.0
640,1.0,0.99659,1.00342,81.0
700,1.0,0.99991,1.00009,81.0
700,1.0,0.99991,1.00009,82.0
