og_coord,closest_coord,dist
"(6006, 5703)","(5.342, 5.052)",0.015
"(6016, 5689)","(5.333, 5.064)",0.015
"(6381, 6254)","(5.654, 5.575)",0.025
"(6367, 6278)","(5.666, 5.554)",0.025
"(5570, 5603)","(4.954, 4.949)",0.028
"(5579, 5573)","(4.946, 4.975)",0.028
"(5469, 5874)","(4.824, 5.2)",0.037
"(5432, 5856)","(4.856, 5.216)",0.037
"(2797, 2072)","(2.498, 1.896)",0.058
"(2813, 2135)","(2.484, 1.84)",0.058
"(2242, 1222)","(1.997, 1.143)",0.058
"(2249, 1287)","(1.991, 1.085)",0.058
"(7258, 7481)","(6.389, 6.608)",0.066
"(7195, 7442)","(6.445, 6.643)",0.066
"(1577, 986)","(1.452, 0.822)",0.074
"(1635, 926)","(1.4, 0.876)",0.074
"(3135, 3457)","(2.827, 3.134)",0.077
"(3184, 3529)","(2.784, 3.07)",0.077
"(1886, 1104)","(1.687, 1.057)",0.077
"(6455, 6300)","(5.666, 5.554)",0.077
"(1900, 1190)","(1.675, 0.98)",0.077
"(2235, 1376)","(1.997, 1.143)",0.08
"(1814, 1049)","(1.675, 0.98)",0.08
"(3879, 3522)","(3.527, 3.115)",0.084
"(3972, 3508)","(3.445, 3.128)",0.084
"(2927, 2176)","(2.498, 1.896)",0.108
"(3161, 2492)","(2.724, 2.287)",0.111
"(3068, 2575)","(2.807, 2.213)",0.111
"(5752, 5474)","(5.112, 4.986)",0.125
"(5757, 5615)","(5.108, 4.861)",0.125
"(5823, 6064)","(5.165, 5.511)",0.126
"(5816, 6206)","(5.171, 5.385)",0.126
"(3592, 3642)","(3.321, 3.192)",0.138
"(3740, 3595)","(3.19, 3.234)",0.138
"(3955, 3353)","(3.527, 3.115)",0.138
"(1450, 892)","(1.4, 0.876)",0.14
"(5694, 5763)","(5.112, 4.986)",0.143
"(6057, 5859)","(5.333, 5.064)",0.146
"(3517, 3482)","(3.19, 3.234)",0.157
"(6657, 6059)","(6.059, 5.435)",0.157
"(6823, 6120)","(5.911, 5.38)",0.157
"(6312, 5670)","(5.757, 5.078)",0.158
"(6483, 5718)","(5.605, 5.035)",0.158
"(3369, 3630)","(3.038, 3.376)",0.16
"(3421, 3802)","(2.992, 3.223)",0.16
"(2511, 2167)","(2.124, 1.794)",0.168
"(2392, 2020)","(2.23, 1.924)",0.168
"(3784, 3271)","(3.512, 2.977)",0.168
"(7300, 6744)","(6.465, 5.808)",0.181
"(7280, 6541)","(6.482, 5.989)",0.181
"(6161, 6268)","(5.654, 5.575)",0.183
"(6337, 6544)","(5.612, 5.999)",0.189
"(6320, 6756)","(5.627, 5.811)",0.189
"(5277, 5194)","(4.5, 4.563)",0.192
"(5068, 5139)","(4.686, 4.612)",0.192
"(3247, 2290)","(2.807, 2.213)",0.195
"(2041, 1495)","(1.985, 1.222)",0.202
"(3594, 3141)","(3.36, 2.905)",0.204
"(4230, 4672)","(3.546, 4.119)",0.212
"(3993, 4639)","(3.756, 4.149)",0.212
"(6563, 6767)","(5.612, 5.999)",0.216
"(5508, 5099)","(4.686, 4.612)",0.222
"(7791, 6930)","(6.751, 6.006)",0.224
"(7602, 6763)","(6.918, 6.154)",0.224
"(7143, 6329)","(6.465, 5.808)",0.224
"(7511, 7470)","(6.445, 6.643)",0.225
"(4797, 4681)","(4.363, 3.932)",0.247
"(4913, 4428)","(4.26, 4.157)",0.247
"(4641, 4245)","(3.881, 3.695)",0.252
"(4370, 4161)","(4.121, 3.77)",0.252
"(2025, 1839)","(1.851, 1.886)",0.259
"(2085, 2124)","(1.798, 1.633)",0.259
"(6943, 7034)","(6.433, 6.259)",0.268
"(7244, 7048)","(6.165, 6.246)",0.268
"(1620, 583)","(1.452, 0.822)",0.305
"(2684, 2667)","(2.079, 2.293)",0.314
"(2341, 2582)","(2.383, 2.368)",0.314
"(4352, 5270)","(3.549, 4.736)",0.32
"(3997, 5333)","(3.865, 4.68)",0.32
"(8128, 7191)","(6.918, 6.154)",0.379
"(4836, 5642)","(4.5, 4.563)",0.492
