og_coord,closest_coord,dist,avg_dist
"(0.41, 0.795)","(0.413, 0.796)",0.003,0.022
"(0.413, 0.796)","(0.41, 0.795)",0.003,0.0
"(0.539, 0.768)","(0.544, 0.764)",0.006,0.0
"(0.544, 0.764)","(0.539, 0.768)",0.006,0.0
"(0.617, 0.56)","(0.615, 0.551)",0.009,0.0
"(0.615, 0.551)","(0.617, 0.56)",0.009,0.0
"(0.558, 0.548)","(0.565, 0.542)",0.01,0.0
"(0.565, 0.542)","(0.558, 0.548)",0.01,0.0
"(0.416, 0.646)","(0.411, 0.655)",0.011,0.0
"(0.411, 0.655)","(0.416, 0.646)",0.011,0.0
"(0.418, 0.635)","(0.416, 0.646)",0.011,0.0
"(0.582, 0.418)","(0.581, 0.43)",0.011,0.0
"(0.581, 0.43)","(0.582, 0.418)",0.011,0.0
"(0.4, 0.741)","(0.405, 0.731)",0.011,0.0
"(0.405, 0.731)","(0.4, 0.741)",0.011,0.0
"(0.609, 0.569)","(0.617, 0.56)",0.012,0.0
"(0.458, 0.531)","(0.457, 0.545)",0.013,0.0
"(0.457, 0.545)","(0.458, 0.531)",0.013,0.0
"(0.612, 0.537)","(0.615, 0.551)",0.014,0.0
"(0.478, 0.551)","(0.478, 0.536)",0.015,0.0
"(0.478, 0.536)","(0.478, 0.551)",0.015,0.0
"(0.436, 0.614)","(0.434, 0.599)",0.015,0.0
"(0.434, 0.599)","(0.436, 0.614)",0.015,0.0
"(0.529, 0.542)","(0.536, 0.528)",0.016,0.0
"(0.536, 0.528)","(0.529, 0.542)",0.016,0.0
"(0.59, 0.607)","(0.606, 0.601)",0.017,0.0
"(0.606, 0.601)","(0.59, 0.607)",0.017,0.0
"(0.625, 0.625)","(0.607, 0.622)",0.018,0.0
"(0.632, 0.656)","(0.615, 0.654)",0.018,0.0
"(0.607, 0.622)","(0.625, 0.625)",0.018,0.0
"(0.615, 0.654)","(0.632, 0.656)",0.018,0.0
"(0.548, 0.746)","(0.543, 0.728)",0.018,0.0
"(0.543, 0.728)","(0.548, 0.746)",0.018,0.0
"(0.592, 0.446)","(0.581, 0.43)",0.02,0.0
"(0.424, 0.779)","(0.413, 0.796)",0.02,0.0
"(0.535, 0.508)","(0.536, 0.528)",0.021,0.0
"(0.499, 0.529)","(0.478, 0.536)",0.022,0.0
"(0.384, 0.757)","(0.4, 0.741)",0.023,0.0
"(0.411, 0.603)","(0.434, 0.599)",0.023,0.0
"(0.35, 0.649)","(0.372, 0.656)",0.023,0.0
"(0.372, 0.656)","(0.35, 0.649)",0.023,0.0
"(0.629, 0.682)","(0.632, 0.656)",0.026,0.0
"(0.616, 0.511)","(0.612, 0.537)",0.027,0.0
"(0.472, 0.507)","(0.458, 0.531)",0.028,0.0
"(0.547, 0.47)","(0.571, 0.485)",0.029,0.0
"(0.571, 0.485)","(0.547, 0.47)",0.029,0.0
"(0.482, 0.822)","(0.508, 0.81)",0.029,0.0
"(0.508, 0.81)","(0.482, 0.822)",0.029,0.0
"(0.497, 0.492)","(0.472, 0.507)",0.029,0.0
"(0.559, 0.701)","(0.543, 0.728)",0.031,0.0
"(0.355, 0.618)","(0.35, 0.649)",0.032,0.0
"(0.589, 0.685)","(0.559, 0.701)",0.035,0.0
"(0.506, 0.713)","(0.48, 0.69)",0.035,0.0
"(0.48, 0.69)","(0.506, 0.713)",0.035,0.0
"(0.468, 0.588)","(0.434, 0.599)",0.036,0.0
"(0.659, 0.764)","(0.626, 0.75)",0.036,0.0
"(0.626, 0.75)","(0.659, 0.764)",0.036,0.0
"(0.593, 0.734)","(0.626, 0.75)",0.037,0.0
"(0.552, 0.585)","(0.558, 0.548)",0.037,0.0
"(0.656, 0.561)","(0.617, 0.56)",0.039,0.0
"(0.669, 0.683)","(0.629, 0.682)",0.041,0.0
"(0.514, 0.667)","(0.48, 0.69)",0.041,0.0
"(0.449, 0.472)","(0.472, 0.507)",0.042,0.0
"(0.465, 0.648)","(0.436, 0.614)",0.044,0.0
"(0.583, 0.789)","(0.544, 0.764)",0.047,0.0
"(0.485, 0.411)","(0.449, 0.472)",0.071,0.0
