og_coord,Path
"(2431.0, 3395.0)","[(2431, 3395), (2432.0, 3400.0), (2480.0, 3400.0), (2512.0, 3384.0), (2560.0, 3368.0), (2576.0, 3352.0), (2592.0, 3336.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2891.0, 3257.0)","[(2891, 3257), (2872.0, 3536.0), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(3063.0, 2883.0)","[(3063, 2883), (3048.0, 3008.0), (2976.0, 3016.0), (2960.0, 3032.0), (2952.0, 3056.0), (2936.0, 3472.0), (2920.0, 3488.0), (2904.0, 3504.0), (2888.0, 3520.0), (2872.0, 3536.0), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2637.0, 3779.0)","[(2637, 3779), (2616.0, 3792.0), (2600.0, 3808.0), (2584.0, 3824.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2929.0, 3597.0)","[(2929, 3597), (2816.0, 3592.0), (2800.0, 3608.0), (2784.0, 3624.0), (2768.0, 3640.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2603.0, 3121.0)","[(2603, 3121), (2600.0, 3328.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2625.0, 3553.0)","[(2625, 3553), (2632.0, 3568.0), (2720.0, 3576.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2615.0, 3321.0)","[(2615, 3321), (2616.0, 3328.0), (2632.0, 3344.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2678.0, 3267.0)","[(2678, 3267), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2752.0, 2967.0)","[(2752, 2967), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(3021.0, 3719.0)","[(3021, 3719), (2960.0, 3704.0), (2928.0, 3688.0), (2912.0, 3672.0), (2896.0, 3656.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2952.0, 2929.0)","[(2952, 2929), (2936.0, 3472.0), (2920.0, 3488.0), (2904.0, 3504.0), (2888.0, 3520.0), (2872.0, 3536.0), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2654.0, 3277.0)","[(2654, 3277), (2648.0, 3344.0), (2664.0, 3360.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2812.0, 3650.0)","[(2812, 3650), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2592.0, 3816.0), (2576.0, 3832.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2786.0, 3499.0)","[(2786, 3499), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2772.0, 3614.0)","[(2772, 3614), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
