radius,%_gp_captured,%_pface_covered,SC3PA,total_gp
100,1.0,0.16751,5.96985,81.0
100,0.20732,0.16751,1.23765,82.0
160,1.0,0.33838,2.95526,81.0
160,0.40244,0.33838,1.18931,82.0
220,1.0,0.5086,1.96617,81.0
220,0.59756,0.5086,1.17491,82.0
280,1.0,0.66497,1.50382,81.0
280,0.76829,0.66497,1.15537,82.0
340,1.0,0.78582,1.27255,81.0
340,0.86585,0.78582,1.10184,82.0
400,1.0,0.871,1.14811,81.0
400,0.91463,0.871,1.0501,82.0
460,1.0,0.92748,1.07819,81.0
460,0.92683,0.92748,0.9993,82.0
520,1.0,0.96275,1.03869,81.0
520,0.97561,0.96275,1.01336,82.0
580,0.97561,0.98388,0.9916,82.0
580,1.0,0.98388,1.01639,81.0
640,1.0,0.99659,1.00342,82.0
640,1.0,0.99659,1.00342,81.0
700,1.0,0.99991,1.00009,81.0
700,1.0,0.99991,1.00009,82.0
