og_coord,closest_coord,dist,avg_dist
"(0.443, 0.593)","(0.438, 0.607)",0.014,0.034
"(0.438, 0.607)","(0.443, 0.593)",0.014,0.0
"(0.375, 0.72)","(0.389, 0.724)",0.015,0.0
"(0.389, 0.724)","(0.375, 0.72)",0.015,0.0
"(0.47, 0.599)","(0.443, 0.593)",0.027,0.0
"(0.516, 0.754)","(0.511, 0.724)",0.03,0.0
"(0.511, 0.724)","(0.516, 0.754)",0.03,0.0
"(0.523, 0.69)","(0.511, 0.724)",0.036,0.0
"(0.41, 0.692)","(0.389, 0.724)",0.038,0.0
"(0.36, 0.77)","(0.39, 0.796)",0.04,0.0
"(0.39, 0.796)","(0.36, 0.77)",0.04,0.0
"(0.472, 0.769)","(0.435, 0.787)",0.042,0.0
"(0.435, 0.787)","(0.472, 0.769)",0.042,0.0
"(0.449, 0.666)","(0.41, 0.692)",0.047,0.0
"(0.497, 0.559)","(0.47, 0.599)",0.048,0.0
"(0.518, 0.64)","(0.523, 0.69)",0.05,0.0
"(0.359, 0.663)","(0.41, 0.692)",0.059,0.0
