og_coord,closest_coord,dist,avg_dist
"(0.457, 0.742)","(0.453, 0.753)",0.011,0.027
"(0.453, 0.753)","(0.457, 0.742)",0.011,0.0
"(0.54, 0.688)","(0.529, 0.693)",0.012,0.0
"(0.529, 0.693)","(0.54, 0.688)",0.012,0.0
"(0.381, 0.77)","(0.396, 0.771)",0.015,0.0
"(0.396, 0.771)","(0.381, 0.77)",0.015,0.0
"(0.522, 0.677)","(0.529, 0.693)",0.018,0.0
"(0.342, 0.682)","(0.341, 0.703)",0.021,0.0
"(0.341, 0.703)","(0.342, 0.682)",0.021,0.0
"(0.505, 0.702)","(0.529, 0.693)",0.026,0.0
"(0.518, 0.602)","(0.543, 0.62)",0.031,0.0
"(0.543, 0.62)","(0.518, 0.602)",0.031,0.0
"(0.528, 0.646)","(0.522, 0.677)",0.031,0.0
"(0.509, 0.76)","(0.524, 0.796)",0.039,0.0
"(0.524, 0.796)","(0.509, 0.76)",0.039,0.0
"(0.426, 0.686)","(0.457, 0.742)",0.064,0.0
"(0.441, 0.598)","(0.518, 0.602)",0.077,0.0
