og_coord,closest_coord,dist,avg_dist
"(892.0, 4526.0)","(896.0, 4529.0)",5.0,61.0
"(896.0, 4529.0)","(892.0, 4526.0)",5.0,0.0
"(3790.0, 1875.0)","(3796.0, 1878.0)",6.708,0.0
"(3796.0, 1878.0)","(3790.0, 1875.0)",6.708,0.0
"(801.0, 6266.0)","(808.0, 6264.0)",7.28,0.0
"(808.0, 6264.0)","(801.0, 6266.0)",7.28,0.0
"(1889.0, 3757.0)","(1887.0, 3765.0)",8.246,0.0
"(1887.0, 3765.0)","(1889.0, 3757.0)",8.246,0.0
"(2785.0, 1956.0)","(2789.0, 1948.0)",8.944,0.0
"(2789.0, 1948.0)","(2785.0, 1956.0)",8.944,0.0
"(3404.0, 2180.0)","(3406.0, 2171.0)",9.22,0.0
"(3406.0, 2171.0)","(3404.0, 2180.0)",9.22,0.0
"(3068.0, 2156.0)","(3068.0, 2146.0)",10.0,0.0
"(3068.0, 2146.0)","(3068.0, 2156.0)",10.0,0.0
"(4942.0, 1046.0)","(4943.0, 1056.0)",10.05,0.0
"(4943.0, 1056.0)","(4942.0, 1046.0)",10.05,0.0
"(1927.0, 2791.0)","(1917.0, 2787.0)",10.77,0.0
"(1917.0, 2787.0)","(1927.0, 2791.0)",10.77,0.0
"(3143.0, 1994.0)","(3149.0, 2004.0)",11.662,0.0
"(3149.0, 2004.0)","(3143.0, 1994.0)",11.662,0.0
"(4974.0, 870.0)","(4975.0, 882.0)",12.042,0.0
"(4975.0, 882.0)","(4974.0, 870.0)",12.042,0.0
"(829.0, 4630.0)","(825.0, 4617.0)",13.601,0.0
"(825.0, 4617.0)","(829.0, 4630.0)",13.601,0.0
"(4935.0, 1068.0)","(4943.0, 1056.0)",14.422,0.0
"(3395.0, 1423.0)","(3387.0, 1436.0)",15.264,0.0
"(3387.0, 1436.0)","(3395.0, 1423.0)",15.264,0.0
"(1228.0, 3837.0)","(1216.0, 3827.0)",15.62,0.0
"(1216.0, 3827.0)","(1228.0, 3837.0)",15.62,0.0
"(1775.0, 3714.0)","(1780.0, 3699.0)",15.811,0.0
"(1780.0, 3699.0)","(1775.0, 3714.0)",15.811,0.0
"(991.0, 5405.0)","(1002.0, 5418.0)",17.029,0.0
"(1002.0, 5418.0)","(991.0, 5405.0)",17.029,0.0
"(1122.0, 5727.0)","(1110.0, 5741.0)",18.439,0.0
"(1110.0, 5741.0)","(1122.0, 5727.0)",18.439,0.0
"(1569.0, 4011.0)","(1564.0, 3993.0)",18.682,0.0
"(1564.0, 3993.0)","(1569.0, 4011.0)",18.682,0.0
