og_coord,starfish_coord,dist
"(6337, 6667)","(6319.0, 6681.0)",22.804
"(4993, 4874)","(5012.0, 4850.0)",30.61
"(2507, 1705)","(2477.0, 1725.0)",36.056
"(4561, 4215)","(4525.0, 4212.0)",36.125
"(7057, 6316)","(7019.0, 6337.0)",43.417
"(2853, 2993)","(2897.0, 2998.0)",44.283
"(3706, 4090)","(3740.0, 4057.0)",47.381
"(6569, 6044)","(6610.0, 6020.0)",47.508
"(1423, 851)","(1418.0, 900.0)",49.254
"(1654, 1295)","(1601.0, 1300.0)",53.235
"(6404, 5966)","(6370.0, 5916.0)",60.465
"(3990, 5151)","(4050.0, 5161.0)",60.828
"(5105, 4802)","(5164.0, 4832.0)",66.189
"(4596, 5257)","(4525.0, 5289.0)",77.878
"(2023, 1381)","(2000.0, 1306.0)",78.447
"(3535, 3571)","(3529.0, 3490.0)",81.222
"(2643, 2161)","(2564.0, 2184.0)",82.28
"(4031, 4634)","(4118.0, 4663.0)",91.706
"(4032, 5251)","(4050.0, 5161.0)",91.782
"(3819, 3199)","(3916.0, 3203.0)",97.082
"(1680, 1236)","(1601.0, 1300.0)",101.671
"(7485, 7271)","(7478.0, 7168.0)",103.238
"(3211, 3910)","(3168.0, 3812.0)",107.019
"(3749, 3948)","(3740.0, 4057.0)",109.371
"(3466, 3586)","(3529.0, 3490.0)",114.826
"(6792, 6773)","(6883.0, 6846.0)",116.662
"(4408, 4211)","(4525.0, 4212.0)",117.004
"(2358, 1708)","(2477.0, 1725.0)",120.208
"(7250, 7243)","(7251.0, 7115.0)",128.004
"(4238, 4711)","(4118.0, 4663.0)",129.244
"(7363, 7229)","(7478.0, 7168.0)",130.177
"(2700, 2633)","(2833.0, 2636.0)",133.034
"(2763, 1947)","(2855.0, 1850.0)",133.69
"(3874, 4468)","(3980.0, 4551.0)",134.629
"(7664, 6962)","(7599.0, 6844.0)",134.718
"(5072, 5258)","(5082.0, 5393.0)",135.37
"(4177, 3769)","(4149.0, 3905.0)",138.852
"(7998, 6960)","(7865.0, 7001.0)",139.176
"(5019, 5267)","(5082.0, 5393.0)",140.872
"(4251, 4728)","(4118.0, 4663.0)",148.034
"(4672, 5315)","(4525.0, 5289.0)",149.282
"(1972, 1454)","(2000.0, 1306.0)",150.625
"(3538, 4014)","(3541.0, 4174.0)",160.028
"(3165, 2625)","(3033.0, 2532.0)",161.471
"(4507, 4483)","(4377.0, 4386.0)",162.2
"(5332, 5204)","(5260.0, 5052.0)",168.19
"(4832, 4897)","(4675.0, 4824.0)",173.142
"(6394, 6091)","(6370.0, 5916.0)",176.638
"(2684, 1906)","(2855.0, 1850.0)",179.936
"(4090, 4843)","(4118.0, 4663.0)",182.165
"(7340, 7287)","(7478.0, 7168.0)",182.222
"(3864, 4410)","(3980.0, 4551.0)",182.584
"(2739, 2118)","(2564.0, 2184.0)",187.032
"(4349, 4069)","(4537.0, 4098.0)",190.224
"(3231, 3630)","(3168.0, 3812.0)",192.595
"(6098, 5603)","(5905.0, 5615.0)",193.373
"(4763, 5120)","(4574.0, 5079.0)",193.396
"(4334, 5327)","(4525.0, 5289.0)",194.743
"(2747, 2323)","(2916.0, 2423.0)",196.37
"(2718, 2059)","(2564.0, 2184.0)",198.346
"(4990, 5209)","(5082.0, 5393.0)",205.718
"(5700, 5635)","(5905.0, 5615.0)",205.973
"(4030, 4086)","(3887.0, 3935.0)",207.966
"(6360, 6990)","(6569.0, 7015.0)",210.49
"(6408, 6124)","(6370.0, 5916.0)",211.443
"(1803, 1403)","(2000.0, 1306.0)",219.586
"(2614, 1968)","(2564.0, 2184.0)",221.712
"(4851, 5458)","(4963.0, 5653.0)",224.876
"(3311, 3579)","(3529.0, 3490.0)",235.468
"(3745, 3371)","(3916.0, 3203.0)",239.719
"(2620, 2768)","(2833.0, 2636.0)",250.585
"(4325, 4815)","(4118.0, 4663.0)",256.813
"(7833, 7291)","(7865.0, 7001.0)",291.76
"(5324, 5660)","(5037.0, 5607.0)",291.853
"(7743, 7295)","(7478.0, 7168.0)",293.861
"(7382, 6456)","(7354.0, 6765.0)",310.266
"(7182, 7422)","(7251.0, 7115.0)",314.659
"(2507, 1376)","(2477.0, 1725.0)",350.287
"(2532, 1310)","(2228.0, 1064.0)",391.065
"(2361, 2532)","(2564.0, 2184.0)",402.881
"(3309, 1993)","(2855.0, 1850.0)",475.988
"(1838, 591)","(2108.0, 1022.0)",508.587
