og_coord,starfish_coord,dist
"(3830.0, 2900.0)","(3827.143, 2871.468)",28.675
"(4910.0, 2216.0)","(4900.165, 2270.505)",55.385
"(4350.0, 1336.0)","(4287.645, 1341.5)",62.597
"(4062.0, 3267.0)","(3995.164, 3247.515)",69.618
"(1958.0, 5949.0)","(1897.125, 5982.967)",69.71
"(3796.0, 2934.0)","(3827.143, 2871.468)",69.858
"(3767.0, 2834.0)","(3827.143, 2871.468)",70.859
"(4826.0, 2257.0)","(4900.165, 2270.505)",75.385
"(953.0, 8085.0)","(884.555, 8045.446)",79.052
"(3938.0, 3307.0)","(3995.164, 3247.515)",82.5
"(4322.0, 1417.0)","(4287.645, 1341.5)",82.949
"(893.0, 8128.0)","(884.555, 8045.446)",82.985
"(963.0, 8078.0)","(884.555, 8045.446)",84.932
"(3984.0, 3332.0)","(3995.164, 3247.515)",85.219
"(3414.0, 5084.0)","(3339.082, 5025.514)",95.044
"(1000.0, 9689.0)","(1085.468, 9733.656)",96.431
"(4050.0, 3327.0)","(3995.164, 3247.515)",96.565
"(4061.0, 3322.0)","(3995.164, 3247.515)",99.41
"(1179.0, 9687.0)","(1085.468, 9733.656)",104.523
"(4807.0, 2331.0)","(4900.165, 2270.505)",111.083
"(4339.0, 1440.0)","(4287.645, 1341.5)",111.084
"(1983.0, 5854.0)","(1897.125, 5782.942)",111.462
"(4792.0, 2238.0)","(4900.165, 2270.505)",112.944
"(2007.0, 6014.0)","(1897.125, 5982.967)",114.173
"(987.0, 9672.0)","(1085.468, 9733.656)",116.178
"(1445.0, 9390.0)","(1337.944, 9437.619)",117.169
"(3341.0, 5143.0)","(3339.082, 5025.514)",117.502
"(1122.0, 9621.0)","(1085.468, 9733.656)",118.431
"(4039.0, 3360.0)","(3995.164, 3247.515)",120.725
"(3880.0, 3191.0)","(3995.164, 3247.515)",128.284
"(1806.0, 6120.0)","(1737.105, 6010.526)",129.349
"(2026.0, 5971.0)","(1897.125, 5982.967)",129.429
"(2572.0, 4419.0)","(2645.663, 4312.537)",129.463
"(850.0, 9496.0)","(724.535, 9530.075)",130.01
"(1137.0, 9612.0)","(1085.468, 9733.656)",132.12
"(1172.0, 9843.0)","(1085.468, 9733.656)",139.441
"(2014.0, 5706.0)","(1897.125, 5782.942)",139.928
"(3476.0, 5067.0)","(3339.082, 5025.514)",143.065
"(3906.0, 3133.0)","(3995.164, 3247.515)",145.134
"(3439.0, 5131.0)","(3339.082, 5025.514)",145.296
"(1217.0, 9356.0)","(1337.944, 9437.619)",145.908
"(1245.0, 8476.0)","(1105.026, 8421.492)",150.213
"(5021.0, 2361.0)","(4900.165, 2270.505)",150.965
"(4036.0, 3394.0)","(3995.164, 3247.515)",152.07
"(3887.0, 3013.0)","(3827.143, 2871.468)",153.669
"(1805.0, 6152.0)","(1737.105, 6010.526)",156.922
"(3249.0, 5159.0)","(3339.082, 5025.514)",161.038
"(3191.0, 4959.0)","(3339.082, 5025.514)",162.334
"(1285.0, 9284.0)","(1337.944, 9437.619)",162.487
"(1256.0, 9292.0)","(1337.944, 9437.619)",167.092
"(1313.0, 9270.0)","(1337.944, 9437.619)",169.465
"(1866.0, 6150.0)","(1897.125, 5982.967)",169.908
"(966.0, 8323.0)","(1105.026, 8421.492)",170.379
"(1811.0, 6473.0)","(1657.095, 6549.259)",171.762
"(1257.0, 9712.0)","(1085.468, 9733.656)",172.894
"(4795.0, 2133.0)","(4900.165, 2270.505)",173.111
"(1388.0, 9604.0)","(1337.944, 9437.619)",173.748
"(1171.0, 8583.0)","(1105.026, 8421.492)",174.463
"(3827.0, 3299.0)","(3995.164, 3247.515)",175.869
"(783.0, 9810.0)","(768.985, 9986.132)",176.689
"(3510.0, 5071.0)","(3339.082, 5025.514)",176.867
"(1277.0, 8379.0)","(1105.026, 8421.492)",177.146
"(4110.0, 1359.0)","(4287.645, 1341.5)",178.505
"(1254.0, 9795.0)","(1085.468, 9733.656)",179.349
"(2704.0, 4483.0)","(2645.663, 4312.537)",180.169
"(3706.0, 3006.0)","(3827.143, 2871.468)",181.037
"(1190.0, 8583.0)","(1105.026, 8421.492)",182.498
"(945.0, 10038.0)","(768.985, 9986.132)",183.498
"(3449.0, 5173.0)","(3339.082, 5025.514)",183.94
"(1306.0, 9619.0)","(1337.944, 9437.619)",184.172
"(4049.0, 3426.0)","(3995.164, 3247.515)",186.427
"(2686.0, 4495.0)","(2645.663, 4312.537)",186.868
"(3957.0, 3431.0)","(3995.164, 3247.515)",187.412
"(952.0, 9941.0)","(768.985, 9986.132)",188.498
"(4442.0, 1452.0)","(4287.645, 1341.5)",189.831
"(921.0, 8232.0)","(884.555, 8045.446)",190.081
"(3825.0, 3158.0)","(3995.164, 3247.515)",192.273
"(1280.0, 9622.0)","(1337.944, 9437.619)",193.271
"(3896.0, 3053.0)","(3827.143, 2871.468)",194.152
"(1280.0, 9727.0)","(1085.468, 9733.656)",194.646
